"departamento","c_digo_divipola_departamento","municipio","c_digo_divipola_municipio","programa","a_o_de_asignaci_n","estado_de_postulaci_n","hogares","valor_asignado"
"CÓRDOBA","23","MONTERÍA","23001","MI CASA YA","2019","Asignados","3","66249280"
"HUILA","41","NEIVA","41001","Bolsa Ordinaria","2003","Asignados","72","527898837"
"BOLÍVAR","13","CANTAGALLO","13160","Casa Digna Vida Digna","2025","Asignados","2","31200000"
"ANTIOQUIA","5","EL BAGRE","5250","Bolsa Concejales","2008","Asignados","1","5307250"
"CAQUETÁ","18","FLORENCIA","18001","Programa Vivienda Gratuita Fase I","2018","Asignados","82","3792498566"
"CUNDINAMARCA","25","MADRID","25430","MI CASA YA","2021","Asignados","4","72682080"
"BOGOTÁ, D.C.","11","BOGOTÁ, D.C.","11001","VIPA","2016","Asignados","4","73078663"
"CAUCA","19","CAJIBÍO","19130","Casa Digna Vida Digna","2024","Asignados","14","194880000"
"CESAR","20","AGUSTÍN CODAZZI","20013","Habilitación de Titulos","2007","Restitucion de subsidios no aplicados","57","5700000"
"ANTIOQUIA","5","URRAO","5847","Bolsa Desplazados","2010","Asignado con aplicación en Vivienda Gratuita","5","64375000"
"BOLÍVAR","13","SAN MARTÍN DE LOBA","13667","Bolsa Esfuerzo Territorial","2007","Restitución SFV por Indemnización","90","819630000"
"ANTIOQUIA","5","ANDES","5034","MI CASA YA","2017","Asignados","1","14754340"
"SANTANDER","68","SAN JOAQUÍN","68682","Bolsa Esfuerzo Territorial","2006","Asignados","28","222600000"
"BOYACÁ","15","FLORESTA","15276","Casa Digna Vida Digna","2025","Asignados","13","202791522"
"VALLE DEL CAUCA","76","FLORIDA","76275","MI CASA YA","2024","Asignados","3","104000000"
"BOLÍVAR","13","CARTAGENA DE INDIAS","13001","MI CASA YA","2017","Asignados","2","23606944"
"ATLÁNTICO","8","GALAPA","8296","MI CASA YA","2020","Asignados","4","96558330"
"VALLE DEL CAUCA","76","CALIMA","76126","Bolsa Desplazados","2010","Asignados","5","77250000"
"VALLE DEL CAUCA","76","SANTIAGO DE CALI","76001","MI CASA YA","2018","Renuncias al subsidio","1","23437260"
"ANTIOQUIA","5","BELLO","5088","MI CASA YA","2016","Asignados","2","22062560"
"TOLIMA","73","GUAMO","73319","MI CASA YA","2022","Asignados","1","20000000"
"BOYACÁ","15","SOGAMOSO","15759","MI CASA YA","2024","Asignados","4","117000000"
"META","50","ACACÍAS","50006","MI CASA YA","2018","Asignados","3","54686940"
"CAUCA","19","LA VEGA","19397","Bolsa Desplazados","2007","Asignados","16","166702000"
"CÓRDOBA","23","MONTERÍA","23001","MI CASA YA","2021","Asignados","7","163534680"
"ANTIOQUIA","5","ARBOLETES","5051","MI CASA YA","2023","Asignados","1","34800000"
"VALLE DEL CAUCA","76","SEVILLA","76736","Bolsa Ordinaria","2008","Asignados","9","81969300"
"CUNDINAMARCA","25","RICAURTE","25612","MI CASA YA","2017","Asignados","1","22131510"
"VALLE DEL CAUCA","76","CARTAGO","76147","Bolsa Desplazados","2018","Asignados","1","23437260"
"VALLE DEL CAUCA","76","EL CERRITO","76248","MI CASA YA","2023","Asignados","4","116000000"
"CUNDINAMARCA","25","PACHO","25513","MI CASA YA","2020","Asignados","1","17556060"
"CAUCA","19","CORINTO","19212","Bolsa Desplazados","2008","Asignados","9","104807750"
"NARIÑO","52","PASTO","52001","MI CASA YA","2021","Asignados","4","90852600"
"ANTIOQUIA","5","BELLO","5088","Casa Digna Vida Digna","2021","Asignados","10","199875720"
"CUNDINAMARCA","25","ZIPAQUIRÁ","25899","Semillero de Propietarios Arriendo","2020","Asignados","3","39193455"
"BOYACÁ","15","TUNJA","15001","MI CASA YA","2019","Asignados","12","223591320"
"VALLE DEL CAUCA","76","ANDALUCÍA","76036","VIPA","2015","Asignados","3","62050950"
"META","50","RESTREPO","50606","MI CASA YA","2018","Asignados","2","39062100"
"HUILA","41","NEIVA","41001","Bolsa Desplazados","2011","Asignados","28","443209000"
"CUNDINAMARCA","25","SOACHA","25754","Programa Vivienda Gratuita Fase I","2014","Asignados","153","6080804500"
"LA GUAJIRA","44","SAN JUAN DEL CESAR","44650","Ahorro Programado Contractual","2011","Apto con subsidio vencido","1","9144284"
"BOLÍVAR","13","TURBACO","13836","MI CASA YA","2018","Asignados","8","171873240"
"SANTANDER","68","FLORIDABLANCA","68276","Ahorro Programado Contractual","2012","Asignados","3","36268800"
"CUNDINAMARCA","25","MEDINA","25438","Bolsa Esfuerzo Territorial","2009","Asignados","42","425883450"
"BOGOTÁ, D.C.","11","BOGOTÁ, D.C.","11001","MI CASA YA","2017","Asignados","9","177052080"
"HUILA","41","ACEVEDO","41006","Bolsa Desplazados","2010","Asignados","4","61800000"
"ANTIOQUIA","5","SAN PEDRO DE URABÁ","5665","Bolsa Desplazados","2008","Asignado con aplicación en Vivienda Gratuita","3","41351500"
"VALLE DEL CAUCA","76","JAMUNDÍ","76364","MI CASA YA","2020","Asignados","11","245784840"
"VALLE DEL CAUCA","76","GUACARÍ","76318","MI CASA YA","2022","Asignados","7","210000000"
"CÓRDOBA","23","VALENCIA","23855","Bolsa Desplazados","2007","Asignados","20","239880250"
"VALLE DEL CAUCA","76","CANDELARIA","76130","MI CASA YA","2024","Asignados","63","2067000000"
"VALLE DEL CAUCA","76","PALMIRA","76520","MI CASA YA","2020","Asignados","9","158004540"
"TOLIMA","73","IBAGUÉ","73001","MI CASA YA","2023","Asignados","71","1902400000"
"BOYACÁ","15","SOGAMOSO","15759","MI CASA YA","2023","Asignados","6","162400000"
